SPGTable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Levered Free Cash Flow,272625,"(983,375)","(1,901)","1,208,250","427,000","112,732",10,NA,"358,949.25","-1,803,375.00","43,655.58","-1,375.00","976,250.00","1,838.45",-559.80,"-62,763.49","62,112.50","1,343.99",-183.86,"-1,948.43","30,435.00","21,514.95",NA,"99,875.00","-62,875.00","224,791.38",NA,"140,842.25","9,337.82","-1,091.76","405,375.00","-2,286,375.00",375.18,NA,"123,307.75","30,634.16","-1,555,000.00","94,612.50","60,375.00","1,108,030.13","286,542.33","-1,406.87","1,256,750.00","15,159.87",NA,"-859,000.00",-315.86,"3,810.13","88,629.50",933.08,"-926,125.00","-36,970.25","115,112.50","30,000.00","-13,375.00",NA,"195,000.00",NA,NA,NA,"125,737.50","-11,944.59",171.23,"63,528.98",NA,"698,500.00","-83,625.00","-3,723.46","356,750.00","-21,875.00","-735,250.00","812,250.00",NA,"-4,000.00","-158,061.75","-19,625.00","3,337,000.00","457,500.00",-301.44,"120,500.00","10,468.76","3,162.58","1,462,375.00",NA,"-1,871,750.00",-752.26,"-804,125.00","1,570.40",97.13,13.37,"2,405,625.00","-1,437.57","382,000.00","-2,937.98",-732.34,"20,810.50","-1,576,125.00","243,000.00","4,235.76","-26,504.08",147.35,"-332,535.67","-287,875.00","-3,343.50","11,896.49","-355,875.00",488.44,"119,500.00",NA,"5,070,875.00",NA,"181,875.00","74,000.00","6,901.63","67,125.00",-34.12,"341,863.39","1,067,750.00","9,215.03",463.23,"98,190.00","33,515.31","666,875.00","-1,922.94","119,625.00",-72.64,-119.18,"97,193.13","-51,750.00","68,250.00",NA,"-80,025.00",NA,"894,875.00","-131,129.63","-427,500.00","100,625.00",NA
Cash from Ops. to Curr. Liab. (x),274482,0.60,NM,0.24,1.59,0.67,0.09,NA,0.11,NM,0.91,0.25,0.36,0.07,NM,NM,0.30,0.30,NM,NM,1.06,0.18,NA,1.17,0.37,0.55,NA,0.65,0.27,NM,1.47,0.54,0.44,NM,0.29,0.32,0.52,0.52,0.42,2.27,NM,0.47,0.86,0.45,NM,0.59,0.97,1.18,1.83,0.57,0.14,NM,0.36,0.10,0.13,NM,0.26,0.40,NA,NA,0.48,NM,0.57,0.10,NA,0.48,0.06,NM,NM,0.09,0.80,0.57,NA,NM,NM,1.23,0.87,0.25,NM,0.11,0.84,0.37,2.42,NA,NM,0.25,NM,3.25,41.25,NM,1.02,NM,0.41,NM,1.24,0.11,NM,1.10,0.09,NM,124.68,0.26,NM,NM,2.96,NM,NM,0.59,NA,0.93,NA,0.89,0.55,0.40,0.14,NM,0.19,0.63,1.38,0.68,1.03,0.03,0.10,NM,0.34,NM,NM,0.65,0.02,0.14,NA,NM,NA,0.25,0.56,0.51,0.92,NA
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profitability (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Return on Assets,274473,2.75,(17.78),6.46,9.82,3.21,(39.94),NA,1.95,0.81,10.66,8.75,2.60,1.17,-40.23,3.63,4.83,9.47,-4.06,4.08,1.52,2.50,NA,4.62,3.64,-6.74,NA,4.43,4.52,-4.57,6.10,3.29,4.48,12.35,6.07,5.29,3.13,4.99,6.40,3.14,5.32,5.39,4.95,6.52,NA,3.57,3.84,5.39,14.29,2.43,0.30,3.16,2.42,5.29,4.09,-2.80,6.85,NA,NA,NA,7.98,-1.46,0.13,1.75,NA,11.96,5.88,-77.75,3.52,3.74,3.98,7.21,NA,0.76,0.06,5.56,15.22,-1.20,-90.53,2.25,3.77,3.61,11.90,NA,3.81,1.93,7.63,41.78,9.45,-4.16,19.53,-90.98,10.83,6.92,-58.82,1.01,3.59,5.62,1.03,5.19,1.69,3.01,1.03,3.59,47.27,7.15,40.47,4.92,NA,7.12,0.51,3.95,3.20,5.28,-1.64,0.03,7.44,6.37,6.96,11.82,4.94,-0.87,3.66,-8.12,6.20,-0.58,-107.66,4.52,8.21,7.09,NA,6.46,NA,1.26,0.92,5.15,5.00,NA
Return on Capital,274474,3.94,(18.42),8.98,15.22,3.85,"(13,695.80)",NA,4.65,2.43,13.63,12.10,3.20,1.44,-45.99,17.46,5.87,13.86,-4.18,11.83,1.70,3.43,NA,5.59,4.96,-9.14,NA,5.35,6.48,-5.23,8.24,4.60,5.33,NA,7.54,7.03,4.23,5.89,9.84,3.75,5.93,5.99,5.82,10.90,NA,5.18,4.55,5.67,17.45,2.83,0.42,5.09,2.92,9.64,5.87,NA,9.07,NA,NA,5.03,10.79,-1.50,0.15,3.82,NA,15.55,23.88,235.79,6.96,4.67,4.42,11.77,NA,0.95,0.07,6.72,26.07,-2.25,-101.80,3.57,4.35,4.93,13.61,NA,44.65,2.11,16.80,50.17,9.52,-5.48,30.56,-95.15,19.11,17.24,-406.78,1.61,5.26,7.61,2.48,6.17,1.70,4.66,1.42,4.23,56.00,9.38,40.84,5.81,NA,9.71,0.56,5.49,4.01,6.04,-2.61,0.06,10.99,8.35,7.71,16.67,6.32,-2.55,5.68,-10.39,8.14,-0.59,-229.83,6.54,13.68,25.77,NA,8.89,0.06,1.97,1.17,7.21,6.50,NA
Return on Equity,274475,9.43,(37.87),114.53,26.07,2.26,"(23,650.13)",NA,5.40,3.43,42.60,-21.08,2.30,-2.45,-89.58,32.95,21.71,16.55,-4.83,3.50,-1.61,19.06,NA,28.05,10.99,-20.10,NA,3.07,9.10,-4.25,20.94,9.41,8.17,31.09,13.58,6.42,10.90,10.67,9.04,5.18,8.99,6.46,14.79,14.61,NA,13.32,4.80,14.92,40.26,2.50,4.23,-54.68,4.41,26.03,6.67,"-2,735.83",7.75,NA,NA,19.73,33.41,-153.35,0.03,1.15,NA,"12,478.63",-188.73,344.95,3.96,8.49,9.32,31.85,NA,-2.80,0.78,26.51,-47.34,-6.05,-162.67,6.03,6.73,8.29,-206.10,NA,-257.72,2.56,106.64,65.90,14.63,-9.61,-152.55,-138.63,102.31,24.91,-213.49,1.66,12.71,20.82,4.90,9.80,-3.72,13.44,-5.44,5.06,71.24,20.31,63.81,12.49,NA,114.26,5.35,9.54,11.71,13.48,-21.14,0.09,16.50,37.09,15.83,27.23,9.86,-74.51,10.38,-8.96,17.38,-78.86,228.35,14.42,94.98,515.15,NA,13.99,0.03,-9.69,-1.71,19.68,19.63,NA
Return on Common Equity,274476,9.50,(37.57),114.53,25.91,1.20,"(23,650.13)",NA,5.46,13.58,42.14,-21.07,2.30,-2.79,-89.58,35.48,21.79,16.55,-4.83,3.50,-1.61,23.39,NA,28.21,10.99,-20.10,NA,3.06,9.26,-4.25,20.95,10.03,8.17,31.09,13.58,-1.87,11.04,10.89,9.04,4.69,8.99,6.51,16.01,14.74,NA,13.32,2.25,14.84,40.26,2.50,4.21,-48.61,4.41,25.59,5.87,"-2,735.83",7.82,NA,NA,19.73,33.89,-153.35,0.03,1.15,NA,-214.02,-188.73,228.66,4.38,8.49,9.33,31.29,NA,-2.80,0.78,24.89,-47.21,-6.05,-162.67,6.03,6.90,12.19,-206.10,NA,-196.46,2.43,107.49,65.90,14.63,-9.63,-149.20,-138.63,102.87,24.91,-213.49,1.37,12.71,20.79,4.90,10.27,-3.72,15.00,-5.44,4.70,71.24,20.48,63.81,13.25,NA,120.04,6.51,9.88,10.96,13.48,-21.24,0.09,16.89,37.62,15.84,27.23,9.83,-84.63,10.09,-8.96,17.38,-78.86,228.35,15.70,96.39,515.15,NA,13.99,0.03,-9.93,-2.62,19.52,22.21,NA
Gross Profit Margin,274477,46.68,NA,68.03,62.72,95.99,69.42,NA,11.36,12.40,43.07,43.79,45.63,43.44,100.00,11.77,26.33,19.85,0.61,53.68,65.31,12.57,NA,29.55,39.93,77.41,NA,34.56,47.57,74.45,43.03,50.54,35.70,85.38,40.18,95.00,51.85,54.46,23.19,82.29,65.12,29.83,19.74,59.35,24.53,42.37,50.25,63.93,30.70,40.04,6.79,61.29,64.19,42.12,35.17,23.76,16.23,61.64,NA,65.21,69.69,NA,63.68,14.74,NA,41.26,21.03,NA,21.53,54.61,48.43,22.41,NA,43.14,21.21,23.58,33.19,19.12,NA,41.08,67.24,49.34,56.03,NA,3.86,53.80,41.59,44.40,98.00,42.51,72.72,NA,51.62,33.93,4.47,10.93,16.69,44.40,34.76,30.08,100.00,18.72,32.31,100.00,66.35,28.66,100.00,29.69,NA,70.65,43.90,70.74,5.75,22.78,17.15,69.45,11.43,48.04,27.12,71.36,54.05,6.91,20.27,52.42,11.53,NA,33.64,44.37,18.32,20.49,NA,34.11,16.30,9.52,36.90,61.01,61.90,NA
Net Income Margin,274478,14.34,NA,21.23,13.13,1.11,(170.48),NA,1.17,-0.19,21.49,6.29,6.99,-7.24,-288.72,6.96,16.70,5.88,-20.76,-1.44,-1.12,3.39,NA,11.98,10.17,-32.38,NA,2.59,6.87,-4.41,18.87,16.32,6.54,31.67,12.37,-0.69,16.72,9.23,4.35,10.21,27.18,13.71,6.29,8.66,3.52,13.52,1.23,58.28,21.99,2.22,1.16,-7.53,17.31,11.81,4.55,-77.82,3.77,14.78,NA,33.06,11.12,NA,0.34,0.09,NA,8.79,4.18,NA,0.29,14.22,16.91,2.09,NA,-0.80,1.14,6.67,8.22,-2.32,NA,1.24,6.44,1.72,31.36,NA,1.15,8.39,18.74,20.48,67.94,-27.98,23.83,NA,17.01,11.78,"4,754.07",0.35,5.08,25.06,6.35,10.05,-58.00,1.87,-2.36,2.91,37.06,-3.68,88.34,7.91,NA,22.01,65.44,16.41,3.86,3.81,-4.29,2.60,8.89,18.26,22.12,14.42,11.47,-3.83,7.56,-6.92,4.17,NA,NM,15.26,2.39,6.67,NA,5.31,0.03,-2.07,-2.92,14.57,22.22,NA
Earnings from Cont Ops Margin,274479,14.39,NA,21.23,15.82,2.10,(170.48),NA,1,0,22,6,3,-9,-289,7,17,6,-21,-1,-1,4,NA,12,10,-32,NA,3,7,-4,19,17,7,32,13,4,17,9,4,13,27,14,8,9,4,14,3,62,22,3,1,-8,11,12,5,-78,4,18,NA,33,11,NA,0,0,NA,10,4,NA,0,14,18,2,NA,-1,1,13,8,-2,NA,1,6,1,31,NA,1,11,19,20,68,-28,24,NA,17,12,NM,0,5,25,6,10,-58,2,-2,3,37,10,88,9,NA,22,65,15,3,4,-4,3,7,18,22,14,11,-4,8,-7,4,NA,NM,18,2,7,NA,5,0,-2,-2,15,23,NA
EBITDA Margin,274480,45.19,NA,45.75,54.01,61.14,(139.97),NA,3,5,32,19,27,29,-230,9,18,12,-7,17,19,3,NA,30,34,-18,NA,22,18,-5,43,50,12,NA,21,35,49,29,20,47,55,30,18,14,6,34,7,62,34,15,4,5,28,18,22,NA,18,27,NA,19,26,NA,14,1,NA,20,8,NA,7,27,41,5,NA,7,1,24,15,4,NA,7,12,15,53,NA,2,21,25,26,73,-18,63,NA,28,15,NA,5,11,44,13,21,NA,8,8,4,52,22,NA,20,NA,38,37,55,5,11,2,7,11,34,29,15,28,2,17,-11,9,NA,-299,42,5,10,NA,13,4,3,33,37,54,NA
EBIT Margin,274481,24.60,NA,28.73,28.20,31.77,(157.96),NA,2.464,2.611,30.066,13.512,13.409,16.93,-274.747,6.798,14.541,9.174,-28.766,8.92,3.72,2.413,NA,20.995,22.021,-38.772,NA,13.617,10.489,-10.192,30.616,33.415,9.719,NA,16.357,21.28,28.331,16.352,12.862,21.042,37.706,25.522,11.87,11.275,4.326,23.086,4.358,62.117,28.129,5.839,0.836,3.923,16.645,14.779,13.065,NA,12.83,20.039,NA,13.499,22.264,NA,2.736,0.734,NA,15.583,6.865,NA,3.905,22.036,26.998,3.254,NA,1.271,0.278,18.367,12.418,-2.505,NA,2.94,8.032,5.651,44.577,NA,1.338,15.09,20.457,25.587,72.644,-26.975,61.319,NA,24.881,13.224,NM,1.271,7.425,32.843,6.097,13.557,54.667,4.297,2.937,4.302,50.848,16.008,90.464,15.691,NA,30.518,36.522,23.58,2.989,6.535,-2.317,2.696,9.085,23.731,21.623,14.371,17.182,-0.824,11.824,-15.031,7.093,NA,NM,29.218,4.071,8.791,NA,9.447,0.079,1.043,5.303,23.545,35.177,NA
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Per Share Information ($),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dividends per Share,271522,0.71,NA,2.38,0.25,0.09,NA,NA,NA,NA,NA,0.2,1.04,NA,NA,NA,0.35,NA,NA,NA,NA,NA,NA,NA,0.22,NA,NA,NA,NA,NA,0.13,0.668,NA,NA,0.515,NA,1.045,0.39,0.026,0.158,NA,0.184188517,0.328,0.142388216,NA,0.4,NA,0.018762237,0.25,NA,0.15,NA,0.08,0.035,0.28,NA,0.17,NA,NA,NA,0.7,NA,NA,0.006500791,NA,0.72,0.289,NA,NA,0.23,0.293,0.29,NA,0.5,NA,0.5,1.1,0.18,NA,0.174,NA,NA,1.77,NA,0.62,NA,0.73,0.002916706,NA,NA,1.02,NA,1.09,0.031848057,NA,NA,2.06,1.35,NA,NA,0.008707094,NA,0.07,NA,0.058940325,0.69,NA,1.03,NA,0.4,NA,0.24,0.38,0.4,0.67,NA,0.005561427,0.75,NA,NA,0.09,NA,0.63,NA,0.37,NA,NA,0.62,0.51,0.275,NA,0.38,NA,1.13,NA,0.678,0.5,NA
Basic EPS Excl. Extra Items,271515,1.07,(0.00),3.22,0.95,0.00,(0.01),NA,1.525,-0.163,0.02351042,0.387,0.508,-0.000741872,-0.003348882,1.122541277,0.975,0.1764066,-0.004898945,0,-0.031,0.000197469,NA,1.027,0.455,-1.338,NA,0.503,0.094733435,-0.002009329,0.342,0.769,0.001384699,0.203150589,1.743,-0.005262969,1.755,1.073,0.193,0.405,0.154731278,0.164095224,0.366,0.09273489,NA,0.901,0.000250567,0.029934054,3.968,0.000669776,0.119,-0.33,0.33,1.234,0.184,-0.015061205,0.236,5.965048641,NA,0.25761212,0.705,-0.304078496,5.12189E-05,0.001300158,NA,6.52,0.596,-0.002090722,0.048,0.381,0.321,1.304,NA,-0.243,0.171,1.57,3.065,-0.255,-0.013143528,0.225,0.007630575,0.005288115,2.613,NA,7.049,0.011923773,2.052,0.003122938,0.002787629,-0.000211369,0.634,-0.009780784,2.576,0.253510534,0.006275502,0.127,3.326,3.313,0.035228225,0.082911441,-0.003348882,0.303146993,-0.089,0.04970775,0.079033618,2.972,0.006969072,1.04,NA,1.061,0.018946687,0.686,0.294,1.17,-1.174,0.000181097,0.031366448,2.714,0.07315335,0.002608712,0.403,-0.001,1.148,-0.129123945,1.492,-0.011150516,-0.002009329,1.93,0.996,1.735,NA,0.521,5.90533E-05,-1.898,-0.26,1.156,0.565,NA
Basic EPS,271514,1.07,(0.00),3.22,0.95,0.00,(0.01),NA,1.525,-0.163,0.02351042,0.387,1.047,-0.000741872,-0.003348882,1.122541277,0.975,0.1764066,-0.004898945,0,-0.031,0.000197469,NA,1.027,0.455,-1.338,NA,0.503,0.094733435,-0.002009329,0.342,0.767,0.001384699,0.203150589,1.682,-0.005262969,1.755,1.073,0.193,0.405,0.154731278,0.153378801,0.366,0.09273489,NA,0.901,0.000250567,0.029934054,3.968,0.000669776,0.119,-0.33,0.504,1.234,0.184,-0.015061205,0.236,5.965048641,NA,0.25761212,0.705,-0.304078496,5.12189E-05,0.001300158,NA,6.52,0.596,-0.002090722,0.048,0.381,0.321,1.304,NA,-0.243,0.171,1.57,3.065,-0.255,-0.013143528,0.225,0.007630575,0.005288115,2.613,NA,7.049,0.011923773,2.052,0.003122938,0.002787629,-0.000211369,0.634,-0.009780784,2.576,0.253510534,0.006275502,0.127,3.326,3.313,0.035228225,0.082911441,-0.003348882,0.303146993,-0.089,0.04970775,0.079033618,-1.084,0.006969072,1.04,NA,1.061,0.018946687,0.808,0.487,1.17,-1.174,0.000181097,0.037539632,2.714,0.07315335,0.002608712,0.403,-0.001,1.148,-0.129123945,1.492,-0.011150516,-0.002009329,1.581,0.996,1.735,NA,0.521,5.90533E-05,-1.898,-0.26,1.156,0.565,NA
Diluted EPS Excl. Extra Items,271518,1.07,(0.00),3.20,0.95,0.00,(0.01),NA,1.51,-0.163,0.02351042,0.38,0.5,-0.000741872,-0.003348882,1.122541277,0.97,0.176312817,-0.004898945,0,-0.031,0.000197469,NA,1.02,0.45,-1.34,NA,0.5,0.094733435,-0.002009329,0.34,0.769,0.001384699,0.203150589,1.73,-0.005262969,1.755,1.06,0.19,0.4,0.154731278,0.160746342,0.36,0.09273489,NA,0.9,0.000250567,0.029078795,3.94,0.000669776,0.119,-0.33,0.33,1.23,0.18,-0.015061205,0.236,5.965048641,NA,0.25761212,0.7,-0.304078496,5.12189E-05,0.001300158,NA,6.45,0.59,-0.002090722,0.048,0.38,0.321,1.29,NA,-0.243,0.17,1.57,3.06,-0.26,-0.013143528,0.22,0.007630575,0.005288115,2.6,NA,7,0.011923773,2.04,0.003122938,0.002787629,-0.000211369,0.63,-0.009780784,2.53,0.244593078,0.006275502,0.127,3.32,3.31,0.035228225,0.082911441,-0.003348882,0.303146993,-0.09,0.04970775,0.079033618,2.95,0.006969072,1.04,NA,1.03,0.018946687,0.65,0.294,1.11,-1.174,0.000181097,0.031088377,2.699,0.07315335,0.002608712,0.4,-0.001,1.14,-0.129123945,1.48,-0.011150516,-0.002009329,1.928,0.99,1.71,NA,0.52,5.90533E-05,-1.9,-0.26,1.15,0.56,NA
Diluted EPS Incl. Extra Items,271517,1.07,(0.00),3.20,0.95,0.00,(0.01),NA,1.51,-0.163,0.02351042,0.38,1.037,-0.000741872,-0.003348882,1.122541277,0.97,0.176312817,-0.004898945,0,-0.031,0.000197469,NA,1.02,0.45,-1.34,NA,0.5,0.094733435,-0.002009329,0.34,0.767,0.001384699,0.203150589,1.669,-0.005262969,1.755,1.06,0.19,0.4,0.154731278,0.150699695,0.36,0.09273489,NA,0.9,0.000250567,0.029078795,3.94,0.000669776,0.119,-0.33,0.502,1.23,0.18,-0.015061205,0.236,5.965048641,NA,0.25761212,0.7,-0.304078496,5.12189E-05,0.001300158,NA,6.45,0.59,-0.002090722,0.048,0.38,0.321,1.29,NA,-0.243,0.17,1.57,3.06,-0.26,-0.013143528,0.22,0.007630575,0.005288115,2.6,NA,7,0.011923773,2.04,0.003122938,0.002787629,-0.000211369,0.63,-0.009780784,2.53,0.244593078,0.006275502,0.127,3.32,3.31,0.035228225,0.082911441,-0.003348882,0.303146993,-0.09,0.04970775,0.079033618,-1.082,0.006969072,1.04,NA,1.03,0.018946687,0.767,0.487,1.11,-1.174,0.000181097,0.037205947,2.699,0.07315335,0.002608712,0.4,-0.001,1.14,-0.129123945,1.48,-0.011150516,-0.002009329,1.58,0.99,1.71,NA,0.52,5.90533E-05,-1.9,-0.26,1.15,0.56,NA
Weighted Avg. Basic Shares Out. (actual),271516,"270,000,000","834,582,835","538,000,000","364,000,000","1,289,909,000","3,250,000",NA,52266000,753400000,2100000000,225000000,289529000,1971282000,366913761,25518526,478800000,7167602,13800000,110233610,64467000,15000000000,NA,74000000,652161000,147778141,NA,50677000,112544444,77355009,1890000000,852200000,342195576,18750000,137267000,189200000,777000000,124100000,124145322,597976000,1179823546,26721000,3431400000,76152101,NA,1008000000,157730000,332290686,33734280,848947368,3968000000,53259000,341100000,457000000,855000000,128636395,866000000,90332000,NA,668757561,139800000,180834606,7800000,1588500000,NA,246936000,948000000,400776900,230500000,1357100000,2222000000,721000000,NA,111000000,23396470,223500000,571000000,584000000,39368085,276100000,903628000,530913642,714900000,NA,129800000,158218286,543800000,299838000,43430881,311302000,1690000000,239760994,166900000,16177305,136289644,78192000,144600000,226100000,3400260,17574516,134811320,43630920,416800000,20657509,244408372,85800000,107558709,611400000,NA,2761000000,1314508000,941300000,704000000,32671000,56900000,14135888,892046000,269000000,828750000,148134971,240035000,26559205726,1337100000,7978000,51600000,145574736,545141734,72012000,492023827,49000000,NA,101300000,6529727,314000000,126580000,4222000000,1221000000,NA
Weighted Avg. Diluted Shares Out. (actual),271519,"271,400,000","834,582,835","541,000,000","364,000,000","1,293,334,000","3,250,000",NA,52674000,753400000,2100000000,226000000,290649000,1971282000,366913761,25518526,480300000,7167602,13800000,110233610,64467000,15000000000,NA,74000000,653319000,147778141,NA,50853000,112544444,77355009,1892000000,852200000,342195576,18750000,138260000,189200000,777000000,125100000,124480239,602838000,1180458380,26811000,3452900000,77278156,NA,1009000000,157730000,342090686,33993023,848947368,4011000000,53259000,344600000,459000000,866000000,128636395,866000000,90332000,NA,668757561,141000000,180834606,7800000,1595500000,NA,249440000,957000000,400776900,235800000,1362200000,2222000000,727000000,NA,111000000,23466746,224100000,572000000,584000000,39368085,281000000,903628000,530913642,718200000,NA,130700000,158218286,547700000,299838000,43430881,311302000,1690000000,239760994,169800000,16813539,136289644,79052000,144900000,226500000,3400260,17574516,134811320,43630920,416800000,20657509,245236082,86300000,107558709,612500000,NA,2851000000,1314508000,982900000,704000000,34416000,56900000,14135888,900255000,276000000,828750000,148134971,241755000,26559205726,1351800000,7978000,52100000,145574736,545141734,72138000,493785973,49000000,NA,101700000,6529727,314000000,126580000,4226000000,1225000000,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
