SPGTable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Levered Free Cash Flow,272625,"(623,875)","(1,827)","1,844,000","(2,750)","(10,764)",(21),NA,"486,424.75","-3,537,125.00","46,289.16","-55,500.00","1,191,375.00",656.34,-67.99,"22,016.91","178,162.50",836.12,NA,-8.27,"12,105.38",613.36,NA,"16,900.00","-1,895,375.00","-8,218.13",NA,"59,779.88","-50,472.23","-1,135.45","426,250.00","2,711,125.00",997.07,NA,"337,336.63","-10,284.33","-971,250.00","108,225.00","83,750.00","601,803.63","-3,463,374.05","1,743.49","2,013,125.00","43,326.94",NA,"-975,875.00",-67.67,"-5,997.24","60,390.63","2,009.26","-1,418,875.00","13,865.88","119,737.50","318,000.00","-52,250.00",NA,"23,625.00",NA,NA,NA,"130,212.50","-33,058.67",NA,"19,512.67",NA,"1,300,000.00","155,000.00",76.45,"332,625.00","-261,125.00","311,375.00","1,945,500.00",NA,"-254,250.00","-83,996.00","-249,125.00","1,451,625.00","-781,875.00",-225.36,"60,250.00","6,894.18","11,994.39","1,283,250.00",243.24,"-1,273,625.00","10,693.95","440,250.00",NA,-159.61,54.16,"2,657,250.00",-744.21,"317,625.00","15,573.07",59.01,"127,931.00","-427,875.00","-868,375.00",-199.16,"-15,874.59","-1,604.34","-13,906.18","-21,000.00","-3,635.73","12,193.18","-247,625.00",-122.14,"-198,625.00",NA,"5,178,625.00",NA,"-211,000.00","166,250.00","-13,937.50","-152,062.50",5.35,"201,878.47","936,250.00","-42,113.14",-543.19,"153,642.75","-19,928.40","493,125.00",268.54,"406,000.00",-65.35,-782.16,"456,966.88","-143,093.00","74,250.00",NA,"-127,412.50",NA,"1,771,875.00","-183,196.38","-1,358,000.00","312,375.00",NA
Cash from Ops. to Curr. Liab. (x),274482,0.56,NM,0.14,0.68,0.77,NM,NA,0.14,NM,1.13,0.14,0.45,0.04,NM,0.13,0.45,0.24,NA,NM,1.22,0.08,NA,1.22,0.63,0.85,NA,0.54,0.16,NM,1.41,0.51,0.81,7.07,0.22,NM,0.64,0.51,0.42,1.95,NM,1.16,1.19,1.28,NA,0.50,0.81,0.67,2.45,0.38,0.05,0.01,0.59,0.19,0.09,NM,0.36,NA,NA,NA,0.40,NM,NA,0.11,NA,0.75,0.02,NM,NM,0.05,1.04,0.67,NA,NM,NM,0.80,0.44,NM,NM,0.09,0.78,0.54,1.96,NM,NM,0.90,0.23,NA,12.23,0.23,1.05,NM,0.33,1.35,NM,0.16,NM,0.97,0.01,NM,0.34,0.24,0.04,NM,2.64,0.04,NM,0.57,NA,1.10,NA,0.91,0.33,0.39,NM,0.02,0.02,0.54,0.57,0.77,2.08,0.07,0.03,NM,0.21,NM,NM,1.27,0.04,0.14,NA,NM,NA,0.46,0.28,0.53,0.99,NA
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profitability (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Return on Assets,274473,2.72,(9.37),4.61,10.08,2.60,11.07,NA,2.24,0.13,10.20,8.34,2.39,1.00,-33.01,3.42,5.73,8.13,NA,-17.65,2.75,5.96,NA,4.65,3.84,1.89,NA,4.59,4.79,-13.86,7.94,2.08,6.45,12.58,5.86,4.68,2.74,4.58,0.76,1.89,5.52,5.70,5.19,13.68,NA,2.69,6.07,5.03,14.42,-0.24,1.10,-5.09,3.47,4.98,2.29,-3.54,10.00,NA,NA,NA,5.14,0.25,NA,4.02,NA,11.31,7.06,-37.51,-0.76,3.66,4.31,7.92,NA,1.69,1.41,6.63,18.91,-2.71,-68.04,3.54,5.24,3.88,12.39,0.60,3.98,3.33,5.97,NA,-17.16,1.21,18.53,-40.49,10.76,9.92,-24.17,0.01,6.57,5.55,-2.83,5.11,-6.78,2.53,1.13,3.01,43.66,9.04,-13.72,6.02,NA,6.35,0.33,3.44,3.26,5.30,1.76,-0.15,4.96,5.33,2.34,3.78,5.27,0.83,2.86,-19.63,6.61,-1.09,-88.23,3.41,9.26,7.96,NA,6.21,NA,6.78,-0.28,5.02,4.80,NA
Return on Capital,274474,3.94,(10.02),6.23,16.97,3.06,22.31,NA,4.86,0.50,12.82,11.82,3.00,1.23,-40.04,15.37,6.97,11.94,-4.41,-48.93,3.25,7.99,NA,5.67,5.33,2.43,NA,5.53,7.23,-15.76,10.71,3.08,7.24,NA,7.64,6.52,3.70,5.42,1.12,2.32,6.15,6.37,6.05,22.37,NA,3.90,9.10,5.32,17.37,-0.29,1.56,-7.67,4.19,9.35,3.20,NA,13.38,5.10,NA,5.60,7.19,0.27,NA,8.41,NA,14.83,27.02,-243.22,-1.50,4.66,4.77,12.76,NA,2.12,1.53,7.86,34.09,-5.03,-69.43,5.82,6.12,5.03,14.37,0.78,41.71,3.60,12.94,23.22,-17.29,1.55,32.55,-45.00,19.52,23.78,-61.57,0.02,9.80,7.56,-7.17,6.26,-6.90,3.61,1.58,3.30,52.16,11.93,-14.09,6.96,NA,9.36,0.36,4.95,4.09,6.05,2.76,-0.24,7.54,7.00,2.56,5.41,6.80,2.32,4.31,-24.88,8.95,-1.09,-191.90,4.62,15.78,24.48,NA,8.36,1.37,10.53,-0.35,6.95,6.07,NA
Return on Equity,274475,9.09,(15.39),(8.03),23.09,75.56,37.52,NA,5.71,8.29,41.65,-14.81,4.40,-3.50,-85.33,29.82,14.41,19.21,-4.33,106.33,0.64,26.35,NA,37.38,14.24,0.63,NA,8.09,16.68,-19.60,28.63,4.15,12.47,33.97,46.95,-23.42,9.16,10.73,-6.93,2.75,7.57,7.25,15.18,25.74,NA,10.16,15.61,15.48,39.88,-2.09,12.45,-40.67,7.97,20.82,7.68,-115.93,25.49,8.14,NA,13.81,22.33,-8.70,NA,3.85,NA,618.71,-183.68,-452.36,-40.27,7.22,9.74,36.83,NA,1.50,3.66,38.76,-62.42,-8.92,-110.49,15.03,9.74,10.47,-161.76,1.38,-292.16,-3.11,57.95,30.81,-28.83,1.88,-199.11,-68.74,-23.82,27.47,65.37,-5.09,26.03,1.67,-13.69,9.98,-9.04,11.77,-1.16,4.08,61.34,21.14,-23.06,15.52,NA,440.30,-0.98,9.21,9.96,13.34,1.11,0.24,12.00,28.48,5.40,8.47,9.71,-34.70,11.28,-38.69,23.09,232.46,275.38,10.33,95.76,329.41,NA,16.97,1.59,18.55,-6.25,19.93,17.76,NA
Return on Common Equity,274476,9.16,(15.33),(8.03),20.07,75.06,37.52,NA,5.81,8.01,41.33,-14.80,4.40,-4.19,-85.33,29.97,14.51,19.21,-4.63,106.33,0.64,32.40,NA,37.38,14.24,0.63,NA,7.44,16.84,-19.60,28.64,4.12,12.46,33.97,46.95,-60.23,9.39,10.99,-6.93,2.77,7.57,7.61,14.39,25.58,NA,10.16,14.81,15.21,39.88,-2.09,12.44,-40.22,7.98,20.58,7.34,-115.93,25.48,7.46,NA,13.82,22.52,-8.70,NA,3.85,NA,-375.57,-183.68,-845.10,-43.30,7.22,9.78,36.44,NA,1.50,3.66,43.14,-62.26,-8.92,-110.49,15.03,9.89,13.70,-161.76,1.38,-221.57,-4.35,58.31,30.81,-28.83,1.88,-196.35,-68.74,-25.06,27.47,65.37,-6.12,26.03,1.64,-13.69,10.25,-9.04,11.36,-1.16,4.08,61.34,21.40,-23.06,15.52,NA,562.30,-0.98,9.57,9.45,13.34,1.09,0.24,12.55,29.16,5.40,8.47,9.65,-37.24,11.37,-38.69,23.15,232.46,275.38,10.53,97.32,329.41,NA,16.97,1.59,18.96,-6.31,19.71,20.37,NA
Gross Profit Margin,274477,49.71,NA,66.34,70.24,93.21,71.82,NA,12.39,11.81,42.63,42.69,43.07,41.23,100.00,11.93,28.34,19.68,4.54,-0.72,67.78,12.12,NA,31.34,42.86,63.48,NA,34.87,45.66,71.24,47.76,46.78,36.28,86.10,37.75,94.39,48.55,54.82,13.64,53.24,65.91,32.57,18.00,57.25,NA,39.09,44.13,62.59,29.26,35.82,8.44,52.28,59.31,40.88,33.38,30.39,18.64,55.81,NA,72.65,65.25,NA,4.29,16.49,NA,40.15,21.90,NA,17.74,55.94,53.49,22.33,NA,42.68,23.59,35.02,33.68,15.52,NA,42.24,68.27,49.72,55.75,14.37,3.90,54.89,42.10,47.11,103.55,52.99,69.54,NA,50.02,31.71,22.88,11.43,21.05,42.18,18.86,33.51,100.00,16.73,30.97,100.00,63.85,31.48,100.00,39.41,NA,71.01,53.00,60.80,5.68,21.95,20.03,31.74,9.63,48.23,13.40,66.81,42.66,9.77,18.45,41.49,11.59,NA,-16.68,18.99,18.59,21.99,NA,34.39,13.98,8.78,30.12,60.97,62.52,NA
Net Income Margin,274478,14.97,NA,(1.52),6.71,68.73,6.20,NA,1.21,-2.07,24.17,5.80,5.97,-10.60,-129.26,7.24,11.01,6.36,-17.40,-115.96,0.44,3.08,NA,13.61,13.36,1.82,NA,7.21,11.29,-28.17,23.91,11.10,8.14,30.90,33.56,-7.08,14.84,8.99,-2.82,8.23,22.89,15.04,5.73,12.39,NA,10.89,5.94,62.11,20.09,-2.15,3.11,-9.53,13.60,8.04,7.03,-83.38,10.44,8.05,NA,20.80,7.69,NA,-15.85,0.35,NA,9.18,4.72,NA,-3.36,13.09,19.42,2.13,NA,0.39,4.36,12.14,10.11,-3.65,NA,3.00,8.60,2.24,31.27,6.62,1.29,-13.77,15.43,19.56,139.77,3.42,45.14,NA,-1.63,10.18,NM,-1.53,9.32,1.76,-33.13,10.12,76.20,2.28,-0.54,3.25,31.85,14.82,175.62,13.37,NA,19.43,-21.12,14.86,2.28,3.76,0.22,3.35,8.29,9.66,9.03,5.16,15.30,-2.84,8.85,-40.48,4.83,NA,-276.81,5.55,2.56,7.20,NA,6.48,1.16,4.10,-9.88,13.95,22.73,NA
Earnings from Cont Ops Margin,274479,15.02,NA,(1.52),10.78,69.20,6.20,NA,1,-2,24,6,6,-13,-129,7,11,6,-17,-116,0,4,NA,14,13,2,NA,7,12,-28,24,8,8,31,32,-6,15,9,-3,8,23,17,8,13,NA,11,7,66,20,-2,3,-10,14,8,8,-83,10,10,NA,21,8,NA,-16,0,NA,10,5,NA,-3,13,20,2,NA,0,4,20,10,-4,NA,3,9,2,31,7,1,-12,12,20,140,3,45,NA,-2,10,NM,-1,9,2,-33,10,76,3,-1,3,32,14,176,13,NA,19,-21,12,3,4,0,3,6,10,9,5,15,-3,9,-40,5,NA,-277,6,3,7,NA,6,1,4,-10,14,24,NA
EBITDA Margin,274480,48.39,NA,42.31,55.39,53.30,8.67,NA,3,3,36,17,23,26,-105,9,21,12,-9,-77,22,6,NA,30,37,49,NA,23,18,-36,48,43,15,NA,19,33,45,28,8,54,56,32,17,22,NA,30,9,60,33,10,6,-6,25,17,20,NA,22,20,NA,19,22,NA,-7,2,NA,19,9,NA,4,27,47,6,NA,8,5,35,17,0,NA,9,23,15,52,151,2,28,26,26,135,10,60,NA,28,16,NA,5,15,42,-18,19,NA,9,8,5,50,26,NA,28,NA,38,56,45,5,11,6,-3,10,30,15,12,40,4,15,-43,9,NA,-234,18,5,11,NA,12,5,8,19,37,56,NA
EBIT Margin,274481,25.63,NA,23.53,30.98,24.60,6.89,NA,2.714,0.41,30.853,12.966,10.667,14.696,-119.115,6.97,17.521,8.328,-28.344,-99.708,7.073,5.52,NA,22.068,23.397,17.372,NA,14.836,11.719,-42.913,36.62,24.119,12.289,NA,14.521,18.976,25.433,16.172,1.411,15.265,38.474,28.143,11.004,19.36,NA,18.286,6.517,59.47,27.317,-0.602,2.826,-7.463,15.684,13.849,8.639,NA,17.006,13.322,NA,13.528,17.298,NA,-13.971,1.673,NA,14.764,7.797,NA,-0.811,22.059,31.832,3.5,NA,2.744,4.998,27.594,15.17,-6.21,NA,4.62,10.623,6.454,44.059,6.917,1.351,23.22,20.994,24.337,138.652,4.952,58.957,NA,24.027,14.461,NM,0.019,12.227,30.959,-29.503,13.159,120.641,4.256,3.327,4.377,48.3,20.178,171.744,22.318,NA,27.632,56.164,17.071,3.067,6.357,2.218,-5.422,7.467,20.118,8.004,5.381,25.532,0.942,9.536,-48.123,7.495,NA,-255.26,10.263,4.353,9.652,NA,9.232,1.67,5.607,-1.81,23.125,36.403,NA
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Per Share Information ($),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dividends per Share,271522,0.67,NA,2.25,0.25,0.09,NA,NA,NA,NA,NA,0.2,0.95,NA,NA,NA,0.35,NA,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,0.12,0.668,NA,NA,0.51,NA,1.025,0.39,0.018,0.158,NA,0.166978231,0.318,0.142392471,NA,0.38,NA,0.017342321,0.25,NA,0.15,NA,0.08,0.03,0.28,NA,0.17,NA,NA,NA,0.7,NA,NA,0.006330145,NA,0.66,0.276,NA,NA,0.215,0.288,0.26,NA,0.5,NA,0.435,1.05,0.18,NA,0.165,NA,NA,1.67,NA,0.54,NA,1.51,NA,NA,NA,0.98,NA,0.98,0.01898557,NA,NA,1.87,1.35,NA,0,0.008512616,NA,0.07,NA,0.045837161,0.6,NA,0.99,NA,0.4,NA,0.22,0.318,0.367,0.66,NA,NA,NA,NA,NA,0.08,NA,0.59,NA,0.37,NA,NA,0.62,0.51,0.25,NA,0.36,NA,1.07,NA,0.665,0.475,NA
Basic EPS Excl. Extra Items,271515,0.98,(0.00),(0.21),0.44,0.27,0.00,NA,1.541,-0.56,0.025019564,0.354,0.969,-0.001492215,-0.003274083,1.169595646,0.669,0.19766538,-0.005005685,-0.007416778,0.012,0.000216753,NA,1.085,0.554,0.045,NA,1.309,0.162846922,-0.008512616,0.449,0.316,0.001514637,0.193245014,4.33,-0.493968996,1.442,1.011,-0.145,0.235,0.129191891,0.190551628,0.323,0.153633982,NA,0.658,0.001503658,0.029336076,3.426,-0.000654817,0.335,-0.463,0.59,0.82,0.245,-0.020387694,0.682,3.063693421,NA,0.148184893,0.418,-0.033395646,-0.013181692,0.005064116,NA,6.017,0.625,-0.002966711,-0.619,0.329,0.334,1.331,NA,0.127,0.723,2.143,3.782,-0.387,-0.018735851,0.568,0.010546363,0.005894022,2.672,0.00025061,7.07,-0.022666971,1.27,0.0012061,-0.0066751,0,1.208,-0.006695822,-0.235,0.227826845,-0.001973003,-0.528,6.34,0.23,-0.109999447,0.076013907,-0.011786699,0.117249784,-0.022,0.039046851,0.053040144,3.184,-0.002966711,1.094,NA,0.887,-0.003256938,0.602,0.272,1.08,0.067,NA,0.023509091,1.401,0.020728092,0.000651261,0.381,-0.001,1.286,-0.609226943,1.805,0.022250333,-0.00196445,1.223,0.996,1.784,NA,0.622,0.003258087,3.752,-0.827,1.092,0.518,NA
Basic EPS,271514,0.98,(0.00),(0.21),0.44,0.27,0.00,NA,1.541,-0.56,0.025019564,0.354,0.969,-0.001492215,-0.003274083,1.169595646,0.669,0.19766538,-0.005005685,-0.007416778,0.012,0.000216753,NA,1.085,0.554,0.045,NA,1.309,0.162846922,-0.008512616,0.449,0.457,0.001514637,0.193245014,4.547,-0.493968996,1.438,1.011,-0.145,0.235,0.129191891,0.155846349,0.323,0.153633982,NA,0.658,0.001503658,0.029336076,3.426,-0.000654817,0.335,-0.463,0.59,0.82,0.245,-0.020387694,0.682,3.063693421,NA,0.148184893,0.418,-0.033395646,-0.013181692,0.005064116,NA,6.017,0.625,-0.002966711,-0.619,0.329,0.334,1.331,NA,0.127,0.723,2.143,3.782,-0.387,-0.018735851,0.568,0.010546363,0.005894022,2.672,0.00025061,7.07,-0.022666971,1.672,0.0012061,-0.0066751,0,1.208,-0.006695822,-0.235,0.227826845,-0.001973003,-0.528,6.34,0.23,-0.109999447,0.076013907,-0.011786699,0.117249784,-0.022,0.039046851,0.053040144,3.425,-0.002966711,1.094,NA,0.887,-0.003256938,0.808,0.287,1.08,0.067,NA,0.032150561,1.401,0.020728092,0.000651261,0.381,-0.001,1.286,-0.609226943,1.805,0.022250333,-0.00196445,1.223,0.996,1.784,NA,0.622,0.003258087,3.752,-0.827,1.092,0.518,NA
Diluted EPS Excl. Extra Items,271518,0.98,(0.00),(0.21),0.44,0.27,0.00,NA,1.53,-0.56,0.025019564,0.35,0.96,-0.001492215,-0.003274083,1.169595646,0.669,0.197280443,-0.005005685,-0.007416778,0.01,0.000216497,NA,1.08,0.55,0.04,NA,1.3,0.162846922,-0.008512616,0.449,0.316,0.001514637,0.193245014,4.3,-0.493968996,1.442,1,-0.15,0.233,0.129191891,0.189896811,0.321,0.149886811,NA,0.658,0.001503658,0.028525687,3.4,-0.000654817,0.33,-0.463,0.58,0.81,0.24,-0.020387694,0.68,3.063693421,NA,0.148184893,0.418,-0.033395646,-0.013181692,0.005064116,NA,5.93,0.62,-0.002966711,-0.62,0.329,0.334,1.32,NA,0.127,0.72,2.13,3.77,-0.39,-0.018735851,0.56,0.010546363,0.005894022,2.66,0.00025061,7.02,-0.022666971,1.27,0.0012061,-0.0066751,0,1.208,-0.006695822,-0.235,0.217701208,-0.001973003,-0.53,6.32,0.23,-0.109999447,0.075999327,-0.011786699,0.117249784,-0.022,0.039046851,0.053040144,3.16,-0.002966711,1.09,NA,0.86,-0.003256938,0.56,0.272,1.06,0.067,NA,0.023455417,1.349,0.020728092,0.000651261,0.375,-0.001,1.28,-0.609226943,1.79,0.022250333,-0.00196445,1.22,0.99,1.78,NA,0.62,0.003258087,3.75,-0.83,1.09,0.518,NA
Diluted EPS Incl. Extra Items,271517,0.98,(0.00),(0.21),0.44,0.27,0.00,NA,1.53,-0.56,0.025019564,0.35,0.96,-0.001492215,-0.003274083,1.169595646,0.669,0.197280443,-0.005005685,-0.007416778,0.01,0.000216497,NA,1.08,0.55,0.04,NA,1.3,0.162846922,-0.008512616,0.449,0.457,0.001514637,0.193245014,4.515,-0.493968996,1.438,1,-0.15,0.233,0.129191891,0.155191532,0.321,0.149886811,NA,0.658,0.001503658,0.028525687,3.4,-0.000654817,0.33,-0.463,0.58,0.81,0.24,-0.020387694,0.68,3.063693421,NA,0.148184893,0.418,-0.033395646,-0.013181692,0.005064116,NA,5.93,0.62,-0.002966711,-0.62,0.329,0.334,1.32,NA,0.127,0.72,2.13,3.77,-0.39,-0.018735851,0.56,0.010546363,0.005894022,2.66,0.00025061,7.02,-0.022666971,1.671,0.0012061,-0.0066751,0,1.208,-0.006695822,-0.235,0.217701208,-0.001973003,-0.53,6.32,0.23,-0.109999447,0.075999327,-0.011786699,0.117249784,-0.022,0.039046851,0.053040144,3.399,-0.002966711,1.09,NA,0.86,-0.003256938,0.752,0.287,1.06,0.067,NA,0.032096887,1.349,0.020728092,0.000651261,0.375,-0.001,1.28,-0.609226943,1.79,0.022250333,-0.00196445,1.22,0.99,1.78,NA,0.62,0.003258087,3.75,-0.83,1.09,0.518,NA
Weighted Avg. Basic Shares Out. (actual),271516,"266,400,000","572,990,192","536,000,000","302,000,000","1,246,265,000","3,250,000",NA,54251000,612900000,2100000000,229000000,290113000,1967439000,231397403,25530098,478200000,7167602,13826501,110233610,66318000,15000000000,NA,74100000,632228000,153364652,NA,51437000,110166666,77222180,1958000000,837700000,342195576,18750000,139051000,15509890,771000000,123500000,123956865,439459000,1184572011,26564000,3368600000,76128001,NA,1000000000,157730000,332290686,35274753,745000000,3979000000,52491000,351700000,456000000,852000000,128940257,889000000,90344000,NA,668780287,139100000,129365439,7800000,1588500000,NA,264435000,995000000,367672229,227900000,1380700000,2220000000,717000000,NA,110000000,23578576,234200000,596000000,597000000,27895440,273100000,920878000,531189926,721800000,63853170,135500000,158218286,555000000,299838000,43443321,311302000,1758000000,115558337,166300000,16141981,137274838,77942000,148900000,225800000,3400260,18770458,136264044,42270177,414700000,21392442,243980892,87300000,109174709,584200000,NA,2728000000,1314508000,884100000,701000000,32480000,56900000,NA,890114000,257000000,828750000,146204505,240505000,26559205726,1329400000,8201000,54300000,139740857,331563371,71728000,505126492,51000000,NA,104400000,5956374,331000000,93106000,4215000000,1218155000,NA
Weighted Avg. Diluted Shares Out. (actual),271519,"266,800,000","572,990,192","536,000,000","302,000,000","1,249,924,000","3,250,000",NA,54815000,612900000,2100000000,230000000,291398000,1967439000,231397403,25530098,479800000,7167602,13826501,110233610,67291000,15000000000,NA,74700000,633970000,156151721,NA,51774000,110166666,77222180,1962000000,837700000,342195576,18750000,139869000,15509890,771000000,124800000,123956865,444967000,1185188026,26626000,3390100000,76667109,NA,1001000000,157730000,342140686,35532284,745000000,4023000000,52491000,356000000,459000000,862000000,128940257,891000000,90344000,NA,668780287,139300000,129365439,7800000,1594800000,NA,268016000,1002000000,367672229,227900000,1387700000,2220000000,724000000,NA,111000000,23675353,235000000,597000000,597000000,27895440,277800000,920878000,531189926,725900000,63853170,136600000,158218286,555900000,299838000,43443321,311302000,1758000000,115558337,166300000,16931532,137274838,77942000,149300000,226200000,3400260,18770458,136264044,42270177,414700000,21392442,244186904,87900000,109174709,585700000,NA,2823000000,1314508000,948600000,701000000,33120000,57200000,NA,891993000,281000000,828750000,146204505,242549000,26559205726,1337300000,8201000,54800000,139740857,331563371,71882000,507069435,51000000,NA,104700000,5956374,331000000,93106000,4219000000,1222222000,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
