SPGTable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Levered Free Cash Flow,272625,"(574,375)","(1,220)","1,484,875","1,246,000","181,539",31,NA,"-207,363.13","-2,612,125.00",-86.28,"-132,625.00","660,750.00","37,416.02",-262.36,"115,444.03","-85,062.50","2,257.68",-166.93,47.56,"31,096.38","2,426.15",NA,"16,700.00","1,108,125.00","115,875.50",NA,34.63,"-13,670.50","-4,189.33","851,375.00","-1,112,875.00",263.01,NA,"-16,598.50","35,534.61","-1,750,875.00","-444,262.50",1.18,"1,121,018.75","149,714.20","6,263.44","-93,875.00","29,588.89",NA,"-982,125.00",-844.68,"-30,061.80","85,071.13","7,433.25","-3,941,500.00","-104,075.25","215,237.50",NA,"215,875.00",NA,"-134,625.00","-306,448.44",NA,NA,"264,100.00","-3,225.74",NA,"-15,639.76",NA,"627,625.00","1,290,125.00",113.92,"692,625.00","191,750.00","271,625.00","961,625.00",NA,"191,750.00","-156,594.75","363,125.00","3,338,375.00","55,125.00",17.60,"-171,500.00","15,818.14","11,698.45","1,804,725.00",NA,"-1,575,625.00","20,433.17","267,875.00",NA,60.73,23.45,"2,875,250.00",NA,"227,875.00","-2,655.81",112.29,"56,392.75","-93,500.00","520,500.00",-772.48,"-3,872.51","2,237.12","13,425.47","-167,375.00","-24,349.45","10,899.23","36,500.00",-50.37,"109,438.00",NA,"3,583,125.00",NA,"1,950,375.00","321,125.00","-89,448.88","-148,250.00",216.80,"31,310.36","-1,582,965.88","48,655.58",-350.04,"491,724.63","-82,158.20","900,750.00","1,327.88","204,625.00",-49.05,-801.80,"-10,398.63","26,413.00","188,625.00",NA,"-141,461.88",-512.25,"592,375.00","-259,777.63","-5,508,875.00","530,000.00",NA
Cash from Ops. to Curr. Liab. (x),274482,0.49,NM,0.67,1.69,1.99,0.96,NA,NM,NM,NM,0.37,0.40,0.39,NM,0.33,0.18,0.59,NM,NM,1.27,0.31,NA,1.25,0.50,0.63,NA,0.41,NM,NM,2.02,0.43,0.23,8.86,0.04,0.05,0.47,NM,NM,0.54,1.14,2.24,0.69,0.94,NA,0.83,0.02,0.15,2.35,0.00,NM,NM,0.34,NA,0.42,NM,NM,0.24,NA,NA,0.26,NM,NA,0.11,NA,0.51,0.22,0.50,0.15,0.41,0.67,0.59,NA,0.38,NM,2.31,0.79,0.43,NM,0.36,1.17,0.33,2.02,0.00,NM,1.40,0.44,NA,16.35,0.10,1.13,NA,0.16,NM,NM,0.28,NM,1.26,NM,NM,4.55,0.19,NM,NM,2.96,0.32,1.56,0.53,NA,0.94,NA,1.49,0.16,NM,NM,0.11,0.31,NM,3.73,0.91,0.70,NM,0.05,0.50,0.54,NM,NM,0.28,0.06,0.48,NA,NM,NM,0.12,0.35,0.59,1.01,NA
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profitability (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Return on Assets,274473,2.62,(3.39),10.34,48.43,4.12,(5.06),NA,6.59,-0.74,-4.17,7.62,3.43,0.33,-16.58,2.29,4.35,9.00,4.23,-17.00,2.85,3.99,NA,4.76,3.31,-37.87,NA,5.53,10.63,-19.37,7.87,2.94,3.13,8.79,7.36,7.70,2.24,7.41,0.77,-21.41,8.91,7.18,4.99,10.11,NA,2.08,3.32,4.92,10.21,-9.04,1.77,-2.17,3.24,NA,4.92,NA,5.76,2.08,NA,NA,3.07,-2.93,NA,6.94,NA,10.69,9.56,-6.97,-1.84,3.31,3.63,4.67,NA,4.55,9.91,-4.04,16.57,-1.03,-5.97,3.40,4.33,6.75,11.33,NA,3.13,5.83,9.19,NA,3.68,118.20,18.07,NA,6.31,1.37,-10.21,-0.76,7.53,7.17,6.42,4.95,4.45,1.50,4.00,6.95,40.00,10.23,-1.11,6.95,NA,6.83,0.15,10.09,2.84,14.39,4.92,1.03,5.00,-6.59,48.06,6.76,-17.16,-11.88,2.43,-2.47,6.07,-0.34,-91.26,3.24,7.85,16.43,NA,7.48,7.02,5.92,-0.32,5.53,3.49,NA
Return on Capital,274474,3.96,(3.53),15.87,86.37,4.61,(8.60),NA,15.31,-2.34,-5.04,11.51,4.42,0.40,-17.50,10.04,5.40,14.04,4.42,-27.74,3.28,4.47,NA,6.22,4.88,-57.08,NA,6.96,16.47,-21.53,10.54,4.16,3.48,NA,10.30,11.41,3.17,8.95,0.98,-32.20,9.75,8.04,5.90,14.70,NA,3.55,4.52,5.15,12.07,-10.55,2.44,-3.42,3.94,7.37,7.29,NA,7.59,2.39,NA,0.95,4.16,-2.98,NA,12.21,NA,14.09,56.23,-8.29,-3.37,4.37,3.92,7.52,NA,5.85,10.56,-5.20,29.07,-1.66,-6.01,5.65,5.03,8.67,13.74,500.04,19.42,6.22,12.93,NA,3.70,-6.97,27.40,NA,12.62,3.21,-15.20,-1.13,11.50,9.74,16.77,6.21,4.80,2.11,5.92,7.75,47.52,13.86,-1.19,8.32,NA,10.10,0.16,14.47,3.77,17.26,7.85,1.94,7.55,-7.97,56.77,8.39,-24.51,-39.19,3.62,-3.41,7.94,-0.36,-101.17,4.31,12.64,39.91,NA,11.02,10.22,10.22,-0.37,7.64,4.40,NA
Return on Equity,274475,10.24,(5.34),155.04,"1,838.02",10.69,(18.59),NA,27.19,32.99,-30.02,-60.97,9.50,-2.24,-34.44,17.10,10.92,21.27,6.78,127.59,4.37,20.42,NA,53.92,21.94,-117.76,NA,14.48,37.46,-28.20,25.74,9.54,6.64,27.42,21.24,21.44,6.52,23.92,-0.11,-66.66,15.03,8.70,14.70,19.83,NA,6.60,6.72,10.75,27.73,-7.86,-26.63,-19.09,6.92,9.52,19.16,NA,15.35,-5.36,NA,5.05,8.13,-4.66,NA,16.47,NA,615.87,-218.40,-16.26,-33.83,9.27,8.60,6.09,NA,1.09,22.33,483.59,986.61,-10.68,-9.62,15.76,7.80,29.59,-83.42,800.00,304.55,7.32,34.61,NA,5.78,-10.96,-465.60,NA,-667.91,3.49,-765.77,-5.53,29.15,20.75,29.40,11.34,6.73,6.77,22.41,9.83,56.47,28.23,-2.17,26.05,NA,407.63,15.56,86.24,7.00,57.50,25.26,2.45,11.23,-102.89,109.63,19.91,-99.15,-137.29,6.06,-4.50,20.90,-158.15,-180.86,11.48,91.78,74.11,NA,24.49,13.28,19.23,-0.99,22.38,11.17,NA
Return on Common Equity,274476,10.34,(5.34),155.04,(933.91),9.60,(18.59),NA,27.39,32.08,-29.77,-60.87,9.12,-2.15,-34.44,16.73,11.01,21.27,6.78,127.59,4.37,30.80,NA,53.92,23.30,-117.76,NA,14.46,39.73,-28.20,25.76,10.38,6.64,27.42,21.24,21.92,7.12,23.92,-0.11,-66.85,15.03,9.10,18.16,19.79,NA,6.63,3.87,10.87,27.73,-7.86,-26.61,-19.33,6.92,9.34,18.80,NA,15.32,-2.61,NA,5.05,8.06,-4.66,NA,16.47,NA,-343.36,-218.40,-16.26,-34.45,9.27,8.63,5.91,NA,1.09,22.33,110.17,982.78,-10.68,-9.62,15.76,8.13,31.00,-83.42,800.00,-711.27,5.92,34.67,NA,5.78,-11.43,-464.65,NA,-600.00,3.49,-765.77,-5.54,29.15,20.75,29.40,11.95,6.73,5.76,22.41,9.88,56.47,28.16,-2.17,26.05,NA,531.67,18.92,144.54,7.10,57.50,25.30,2.45,11.95,-102.89,109.66,19.91,-96.53,-143.66,6.06,-4.50,20.78,-158.15,-180.86,11.94,93.74,74.11,NA,24.49,13.28,19.37,-1.17,22.13,13.38,NA
Gross Profit Margin,274477,42.89,100.00,74.98,80.05,93.74,54.21,NA,13.31,6.10,-22.91,50.48,47.05,30.91,100.00,8.26,25.38,20.07,28.04,53.27,68.99,10.82,NA,25.60,35.83,80.50,NA,36.85,42.60,75.40,47.88,46.34,32.08,80.53,36.23,90.60,45.14,59.40,16.60,77.47,69.99,41.81,16.61,58.34,NA,39.33,17.61,62.53,26.59,25.45,11.86,49.04,57.54,38.64,34.86,56.64,13.66,56.90,NA,112.18,51.71,NA,NA,18.43,NA,38.04,19.88,NA,13.70,53.74,42.26,22.64,NA,42.55,29.43,-4.39,33.29,18.24,NA,40.62,66.12,48.74,53.84,-1.09,4.84,61.73,45.34,NA,96.23,54.98,68.75,NA,45.46,25.66,56.63,11.31,21.29,48.65,76.56,28.20,100.00,19.19,31.20,100.00,64.15,26.64,100.00,19.82,NA,78.38,71.90,65.98,4.73,22.01,20.32,24.56,8.10,-8.50,58.58,71.27,63.28,-8.12,20.08,48.72,11.56,NA,13.75,24.93,18.06,26.68,NA,32.22,16.86,5.97,30.82,57.23,54.86,NA
Net Income Margin,274478,14.00,NM,23.66,48.41,10.00,(7.87),NA,4.02,-8.71,-61.42,18.84,14.35,-8.75,NM,3.53,8.87,6.75,13.20,-70.99,2.74,1.35,NA,11.56,19.22,-113.59,NA,10.18,12.71,-76.35,25.17,16.62,4.78,24.32,11.02,6.77,12.22,16.27,-0.11,-61.45,31.92,22.75,6.19,14.97,NA,11.21,1.19,43.49,20.04,-21.13,-9.02,-5.72,11.99,8.96,15.79,-10.41,6.14,-3.87,NA,12.05,5.26,NA,NA,2.23,NA,8.52,6.38,NA,-5.17,19.01,15.54,0.34,NA,0.36,14.41,-11.68,9.50,-5.92,NA,2.12,7.62,6.48,19.49,-4.15,0.78,18.41,14.71,NA,57.81,25.29,40.65,NA,14.11,1.62,-174.53,-1.79,10.86,24.12,25.22,11.30,59.64,1.11,9.55,5.72,31.39,12.96,-40.93,7.18,NA,25.26,486.50,58.40,1.37,8.40,3.90,8.25,3.82,-110.19,55.88,17.17,-40.79,-14.45,6.90,-2.51,4.31,NA,NM,7.59,2.30,11.99,NA,7.45,6.60,2.44,2.97,13.65,13.98,NA
Earnings from Cont Ops Margin,274479,14.06,NM,23.66,50.03,11.13,(7.87),NA,4,-9,-62,6,12,-13,NM,4,9,7,13,-71,3,2,NA,12,19,-114,NA,10,13,-76,25,16,5,24,11,8,12,16,0,-61,32,22,7,15,NA,9,2,46,20,-21,-9,-6,12,9,16,-10,6,-9,NA,12,5,NA,NA,2,NA,10,6,NA,-5,19,16,0,NA,0,14,-11,10,-6,NA,2,7,7,19,-4,1,27,15,NA,58,25,41,NA,14,2,-175,-2,11,24,25,11,60,1,10,6,31,13,-41,7,NA,25,NM,58,2,8,4,8,4,-110,56,17,-41,-14,7,-3,4,NA,NM,8,2,12,NA,7,7,3,-1,14,14,NA
EBITDA Margin,274480,40.17,NM,53.40,72.52,61.78,(4.70),NA,6,1,-12,26,27,21,NA,6,18,12,NA,-54,23,7,NA,23,29,-138,NA,25,21,-97,48,46,14,NA,19,40,43,35,8,-58,56,41,15,23,NA,34,5,59,31,-38,10,-1,24,15,26,NA,17,16,NA,22,15,NA,NA,4,NA,20,10,NA,3,28,36,4,NA,12,18,-5,15,4,NA,10,23,17,50,10,2,43,25,NA,64,NA,61,NA,22,5,NA,5,18,49,28,18,NA,8,13,8,50,23,NA,15,NA,42,39,56,4,14,9,NA,8,-49,57,19,-33,-10,16,-1,9,NA,NM,23,5,19,NA,13,NA,5,16,37,42,NA
EBIT Margin,274481,20.94,NM,39.92,64.19,34.97,(6.64),NA,5.669,-2.916,-49.772,22.925,15.6,7.286,-261.331,4.074,14.653,8.714,13.749,-69.287,7.484,4.9,NA,15.737,17.445,-152.169,NA,17.057,16.921,-103.808,37.328,27.553,8.525,NA,14.986,27.691,21.766,24.384,2.117,-75.364,47.613,37.06,10.473,19.436,NA,17.665,3.6,58.611,24.601,-59.087,5.244,-3.045,15.423,11.766,16.141,NA,11.928,8.999,NA,3.612,10.317,NA,NA,3.274,NA,14.727,8.703,NA,-2.212,21.897,23.62,2.203,NA,7.023,17.947,-8.656,13.287,-3.217,NA,4.995,9.583,9.707,41.886,-4.154,1.276,38.46,19.345,NA,59.581,25.449,59.805,NA,15.909,2.452,-107.317,-1.1,14.471,38.285,24.32,11.735,80.919,3.002,9.548,7.655,49.352,17.732,-36.004,12.158,NA,35.67,37.276,36.064,2.454,12.052,5.589,10.471,5.323,-81.116,55.363,11.817,-40.529,-13.491,9.926,-3.687,7.455,NA,NM,13.28,4.154,17.57,NA,9.933,8.129,3.772,-1.255,24.125,24.062,NA
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Per Share Information ($),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dividends per Share,271522,0.59,NA,1.94,0.13,0.09,NA,NA,NA,NA,NA,NA,0.87,NA,NA,NA,0.313,NA,NA,NA,NA,NA,NA,NA,0.17,NA,NA,NA,NA,NA,0.1,0.668,NA,NA,0.5,NA,0.985,0.39,0.019741777,0.125,NA,0.176324988,0.2,0.14646605,NA,0.34,NA,0.01567878,0.25,NA,0.1,NA,0.07,NA,0.27,NA,0.12,NA,NA,NA,0.7,NA,NA,0.006889761,NA,0.56,0.25,NA,NA,0.188,0.278,0.18,NA,0.25,NA,0.33,0.6,NA,NA,NA,NA,NA,1.38,NA,0.42,NA,1.49,NA,NA,NA,0.9,NA,0.79,0.012573928,NA,NA,1.57,1.24,NA,0,0.009550937,NA,0.23,NA,0.036734372,0.35,NA,0.935,NA,0.32,NA,0.13,0.218,0.22,0.64,NA,0.005128317,NA,NA,NA,NA,NA,0.51,NA,0.37,NA,NA,0.595,0.47,NA,NA,0.3,NA,0.98,NA,0.64,0.425,NA
Basic EPS Excl. Extra Items,271515,0.98,(0.00),2.69,5.43,0.04,(0.00),NA,5.377,-2.06,-0.014768305,0.326,1.914,-0.000739567,-0.002204062,0.537066656,0.49,0.194539752,0.008066508,-0.004738027,0.062,8.95929E-05,NA,0.55,0.823,-4.618,NA,1.837,0.179533607,-0.025714061,0.393,0.82,0.00072631,0.12679561,1.57,0.617146774,1.096,1.815,-0.003158684,-4.052,0.132406035,0.219671547,0.377,0.155416753,NA,0.489,0.000243017,0.020582716,2.268,-0.002204062,-0.776,-0.414,0.46,0.857,0.689,-0.001449299,0.293,-0.999777774,NA,0.039447821,0.439,-0.022040623,NA,0.027559045,NA,4.209,1.005,-0.001579342,-1.02,0.412,0.292,0.185,NA,0.091,3.301,-3.406,3.22,-0.47,-0.002441101,0.331,0.008897299,NA,1.487,NA,3.131,0.033160701,2.27,NA,0.002369013,0.000242252,1.075,NA,1.589,0.023750753,-0.002173948,-0.468,6.122,2.938,0.197516286,0.086245265,0.012489687,0.051615912,0.54,0.105020586,0.041142497,3.055,-0.000789671,0.875,NA,0.887,0.051615912,4.955,0.194,3.336,1.229,NA,0.025231318,-4.58,0.3002687,0.003643764,-1.813,-0.005,0.742,-0.061180273,1.394,-0.061594346,-0.003673437,1.584,0.738,2.246,NA,0.662,0.029460291,2.211,-0.102,1.09,0.311,NA
Basic EPS,271514,0.98,(0.00),2.69,5.43,0.04,(0.00),NA,5.377,-2.06,-0.014768305,0.993,2.297,-0.000739567,-0.002204062,0.537066656,0.49,0.194539752,0.008066508,-0.004738027,0.062,8.95929E-05,NA,0.55,0.823,-4.618,NA,1.837,0.179533607,-0.025714061,0.393,0.844,0.00072631,0.12679561,1.57,0.617146774,1.077,1.815,-0.003158684,-4.052,0.132406035,0.219671547,0.377,0.155416753,NA,0.609,0.000243017,0.020582716,2.268,-0.002204062,-0.776,-0.414,0.46,0.857,0.689,-0.001449299,0.293,-0.999777774,NA,0.039447821,0.439,-0.022040623,NA,0.027559045,NA,4.209,1.005,-0.001579342,-1.02,0.412,0.292,0.185,NA,0.091,3.301,-3.406,3.22,-0.47,-0.002441101,0.331,0.008897299,NA,1.487,NA,3.111,0.033160701,2.27,NA,0.002369013,0.000242252,1.075,NA,1.589,0.023750753,-0.002173948,-0.468,6.122,2.938,0.197516286,0.086245265,0.012489687,0.051615912,0.54,0.105020586,0.041142497,3.055,-0.000789671,0.875,NA,0.887,0.051615912,4.955,0.194,3.336,1.159,NA,0.025231318,-4.58,0.3002687,0.003643764,-1.813,-0.005,0.729,-0.061180273,1.394,-0.061594346,-0.003673437,1.584,0.738,2.246,NA,0.662,0.029460291,2.211,0.237,1.09,0.311,NA
Diluted EPS Excl. Extra Items,271518,0.97,(0.00),2.68,5.41,0.04,(0.00),NA,5.31,-2.06,-0.014768305,0.32,1.9,-0.000739567,-0.002204062,0.537066656,0.49,0.194539752,0.008066508,-0.007896711,0.06,6.97221E-05,NA,0.54,0.82,-4.62,NA,1.81,0.179533607,-0.025714061,0.39,0.808,0.00072631,0.12679561,1.56,0.617146774,1.096,1.8,-0.003158684,-4.052,0.132406035,0.219671547,0.374,0.154603053,NA,0.489,0.000243017,0.020582716,2.25,-0.002204062,-0.78,-0.414,0.453,0.857,0.68,-0.001449299,0.29,-0.999777774,NA,0.039447821,0.439,-0.022040623,NA,0.027559045,NA,4.14,0.99,-0.001579342,-1.02,0.41,0.292,0.18,NA,0.09,3.25,-3.41,3.21,-0.47,-0.002441101,0.32,0.008897299,NA,1.48,NA,3.09,0.033160701,2.26,NA,0.002369013,0.000242252,1.075,NA,1.54,0.023750753,-0.002173948,-0.47,6.1,2.93,0.197516286,0.086227466,0.012489687,0.051615912,0.54,0.105020586,0.041142497,3.03,-0.000789671,0.87,NA,0.86,0.051615912,4.661,0.194,3.027,1.21,NA,0.02516294,-4.58,0.3002687,0.003643764,-1.818,-0.005,0.74,-0.061487712,1.38,-0.061594346,-0.003673437,1.58,0.73,2.21,NA,0.66,0.029460291,2.21,-0.102,1.09,0.31,NA
Diluted EPS Incl. Extra Items,271517,0.97,(0.00),2.68,5.41,0.04,(0.00),NA,5.31,-2.06,-0.014768305,0.975,2.28,-0.000739567,-0.002204062,0.537066656,0.49,0.194539752,0.008066508,-0.007896711,0.06,6.97221E-05,NA,0.54,0.82,-4.62,NA,1.81,0.179533607,-0.025714061,0.39,0.831,0.00072631,0.12679561,1.56,0.617146774,1.077,1.8,-0.003158684,-4.052,0.132406035,0.219671547,0.374,0.154603053,NA,0.609,0.000243017,0.020582716,2.25,-0.002204062,-0.78,-0.414,0.453,0.857,0.68,-0.001449299,0.29,-0.999777774,NA,0.039447821,0.439,-0.022040623,NA,0.027559045,NA,4.14,0.99,-0.001579342,-1.02,0.41,0.292,0.18,NA,0.09,3.25,-3.41,3.21,-0.47,-0.002441101,0.32,0.008897299,NA,1.48,NA,3.071,0.033160701,2.26,NA,0.002369013,0.000242252,1.075,NA,1.54,0.023750753,-0.002173948,-0.47,6.1,2.93,0.197516286,0.086227466,0.012489687,0.051615912,0.54,0.105020586,0.041142497,3.03,-0.000789671,0.87,NA,0.86,0.051615912,4.661,0.194,3.027,1.141,NA,0.02516294,-4.58,0.3002687,0.003643764,-1.818,-0.005,0.727,-0.061487712,1.38,-0.061594346,-0.003673437,1.58,0.73,2.21,NA,0.66,0.029460291,2.21,0.237,1.09,0.31,NA
Weighted Avg. Basic Shares Out. (actual),271516,"257,900,000","390,030,000","548,000,000","347,000,000","1,179,894,000","3,250,000",NA,67840000,591700000,2089929000,279000000,284685000,1956934000,219373000,25509049,480400000,7045422,13799985,110233610,69463000,15000000000,NA,76600000,629134000,199854257,NA,50640000,102412500,76989570,2188000000,810600000,332122892,16500000,144087000,16125454,770000000,122200000,89679811,374142000,992264876,21226000,3083500000,76284366,NA,981000000,157730000,332290686,42028619,752037037,4008000000,51999000,359300000,454000000,843000000,115403648,899000000,90486824,NA,669106529,139300000,86936142,NA,1677400000,NA,302446000,1081000000,339149969,224400000,1418200000,2267000000,752000000,NA,154000000,23837170,254000000,718000000,592000000,15175680,311600000,920878000,NA,742600000,NA,156200000,158218286,572300000,NA,46731925,239464000,1818000000,NA,168000000,15949691,135360377,74789000,156000000,239300000,3400260,18795340,150840579,40165610,421900000,21513366,244423423,99500000,70140501,447000000,NA,2769000000,1314508000,937400000,705000000,33775500,60300000,NA,888310000,254821000,828750000,119764921,245340000,26559205726,1486800000,8140000,58100000,130649950,226969000,60737000,512516067,65000000,NA,105037000,5943786,408000000,71554000,4201000000,1216940000,NA
Weighted Avg. Diluted Shares Out. (actual),271519,"259,000,000","390,030,000","551,000,000","347,000,000","1,181,272,000","3,250,000",NA,68749000,591700000,2089929000,284000000,286723000,1956934000,219373000,25509049,482300000,7045422,13799985,110233610,70899000,15000000000,NA,77600000,631304000,199854257,NA,51325000,102412500,76989570,2193000000,832000000,332122892,16500000,145329000,16125454,770000000,123500000,89679811,374142000,992480283,21266000,3100500000,76771395,NA,981000000,157730000,332290686,42437366,752037037,4008000000,51999000,368400000,454000000,859000000,115403648,903000000,90486824,NA,669106529,139600000,86936142,NA,1693300000,NA,307374000,1094000000,339149969,224400000,1429700000,2267000000,760000000,NA,156000000,24194321,254000000,720000000,592000000,15175680,318600000,920878000,NA,747600000,NA,158100000,158218286,575000000,NA,46731925,239464000,1818000000,NA,173100000,16340696,135360377,74789000,156600000,240200000,3400260,18795340,150840579,40165610,424700000,21513366,244423423,100200000,70140501,448000000,NA,2861000000,1314508000,996700000,705000000,37323000,61200000,NA,891128000,254821000,828750000,119764921,245340000,26559205726,1497900000,8153000,58700000,130649950,226969000,60854000,515782928,66000000,NA,106048000,5943786,408000000,71554000,4202000000,1221279000,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
